current,pow,throttle,volt,speed,fwd,rev,tic,timestamp
402,670,285,327,26,100,0,99,1567567134.75
388,670,291,328,27,100,0,101,1567567134.85
399,670,295,329,27,100,0,99,1567567134.95
401,669,295,327,28,100,0,101,1567567135.05
421,669,288,326,27,100,0,99,1567567135.15
401,669,293,328,27,100,0,101,1567567135.25
396,670,283,328,27,100,0,100,1567567135.35
400,669,287,327,27,100,0,99,1567567135.45
411,670,286,329,27,100,0,100,1567567135.55
428,669,287,328,27,100,0,100,1567567135.65
393,670,279,328,27,100,0,101,1567567135.75
379,670,275,330,27,100,0,99,1567567135.85
411,669,283,327,27,100,0,101,1567567135.95
411,670,265,328,27,100,0,99,1567567136.05
417,670,277,326,27,100,0,100,1567567136.15
382,670,278,328,27,100,0,101,1567567136.25
376,671,267,330,27,100,0,100,1567567136.45
394,670,267,328,28,100,0,101,1567567136.55
398,670,262,327,29,100,0,98,1567567136.65
414,669,269,327,27,100,0,100,1567567136.75
412,670,261,328,27,100,0,101,1567567136.85
386,670,267,326,27,100,0,99,1567567136.95
380,670,266,328,27,100,0,100,1567567137.05
383,670,265,327,27,100,0,101,1567567137.25
400,670,271,328,27,100,0,99,1567567137.35
378,670,282,328,27,100,0,101,1567567137.75
390,670,275,327,27,100,0,100,1567567137.85
391,669,272,327,28,100,0,99,1567567137.95
415,669,269,326,27,100,0,101,1567567138.05
407,670,274,329,26,100,0,99,1567567138.15
393,670,277,329,27,100,0,101,1567567138.25
374,670,274,328,27,100,0,100,1567567138.35
393,670,281,329,27,100,0,100,1567567138.45
398,669,276,327,27,100,0,100,1567567138.65
395,670,275,327,27,100,0,100,1567567138.75
424,669,279,328,26,100,0,99,1567567138.85
401,670,283,327,27,100,0,100,1567567138.95
384,670,275,329,27,100,0,100,1567567139.05
388,670,277,328,28,100,0,102,1567567139.15
391,669,286,327,26,100,0,99,1567567139.25
402,669,275,327,27,100,0,99,1567567139.35
395,669,287,325,27,100,0,101,1567567139.45
418,669,276,327,27,100,0,99,1567567139.55
387,670,285,330,27,100,0,100,1567567139.65
393,670,282,329,28,100,0,101,1567567139.75
387,670,264,328,26,100,0,99,1567567139.85
418,669,278,326,28,100,0,100,1567567139.95
402,670,268,330,27,100,0,100,1567567140.05
381,670,282,329,27,100,0,100,1567567140.15
391,670,281,328,27,100,0,100,1567567140.25
399,670,272,329,27,100,0,100,1567567140.35
